date_of_count,id,latitude,location,longitude,street,total_passing_vehicle_volume,traffic_volume_count_location_address,vehicle_volume_by_each_direction_of_traffic
2006-03-28T02:00:00.000,324,41.741127,"{'type': 'Point', 'coordinates': [-87.545616, 41.741127]}",-87.54561600000001,85th St,12300,3223 East,East Bound: 6700 / West Bound: 5600
2006-04-26T02:00:00.000,325,41.873149,"{'type': 'Point', 'coordinates': [-87.624836, 41.873149]}",-87.624836,Balbo Ave,10500,77 East,East Bound: 4200 / West Bound: 6300
2006-04-26T02:00:00.000,326,41.873213,"{'type': 'Point', 'coordinates': [-87.620591, 41.873213]}",-87.620591,Balbo Dr,12400,271 East,East Bound: 4500 / West Bound: 7900
2006-04-26T02:00:00.000,327,41.786586,"{'type': 'Point', 'coordinates': [-87.611974, 41.786586]}",-87.611974,Best Dr,5600,530 East,East Bound: 2600 / West Bound: 3000
2006-04-26T02:00:00.000,328,41.869368,"{'type': 'Point', 'coordinates': [-87.620509, 41.869368]}",-87.620509,Columbus Dr,37900,1073 South,North Bound: 19000 / South Bound: 18900
2006-03-28T02:00:00.000,329,41.802285999999995,"{'type': 'Point', 'coordinates': [-87.603784, 41.802286]}",-87.60378399999999,Drexel Blvd,6600,5065 South,North Bound: 3400 / South Bound: 3200
2006-03-28T02:00:00.000,330,41.786165999999994,"{'type': 'Point', 'coordinates': [-87.584966, 41.786166]}",-87.58496600000001,Midway Plaisance,13400,1650 East,East Bound: 7600 / West Bound: 5800
2006-03-28T02:00:00.000,331,41.793546,"{'type': 'Point', 'coordinates': [-87.612405, 41.793546]}",-87.61240500000001,Morgan Dr,28200,520 East,East Bound: 14400 / West Bound: 13800
2006-03-28T02:00:00.000,332,41.793645,"{'type': 'Point', 'coordinates': [-87.609034, 41.793645]}",-87.609034,Rainey Dr,16300,650 East,East Bound: 9200 / West Bound: 7100
2006-03-28T02:00:00.000,333,41.873649,"{'type': 'Point', 'coordinates': [-87.709133, 41.873649]}",-87.709133,Harrison St,2300,3319 West,East Bound: 2300 / / Oneway East Bound
2006-03-28T02:00:00.000,334,41.87389,"{'type': 'Point', 'coordinates': [-87.686234, 41.87389]}",-87.686234,Harrison St,5300,2380 West,East Bound: 2400 / West Bound: 2900
2006-04-26T02:00:00.000,335,41.874043,"{'type': 'Point', 'coordinates': [-87.676455, 41.874043]}",-87.676455,Harrison St,7900,1973 West,East Bound: 3500 / West Bound: 4400
2006-03-28T02:00:00.000,336,41.874122,"{'type': 'Point', 'coordinates': [-87.670619, 41.874122]}",-87.67061899999999,Harrison St,10600,1739 West,East Bound: 4800 / West Bound: 5800
2006-04-26T02:00:00.000,337,41.874199,"{'type': 'Point', 'coordinates': [-87.665037, 41.874199]}",-87.665037,Harrison St,8800,1519 West,East Bound: 4400 / West Bound: 4400
2006-04-26T02:00:00.000,338,41.874359999999996,"{'type': 'Point', 'coordinates': [-87.652225, 41.87436]}",-87.652225,Harrison St,15000,1015 West,East Bound: 6700 / West Bound: 8300
2006-03-28T02:00:00.000,339,41.87438,"{'type': 'Point', 'coordinates': [-87.627297, 41.87438]}",-87.627297,Harrison ST,5900,15 East,East Bound: 2500 / West Bound: 3400
2006-04-26T02:00:00.000,340,41.874327,"{'type': 'Point', 'coordinates': [-87.646119, 41.874327]}",-87.646119,Harrison St,11000,754 West,East Bound: 5600 / West Bound: 5400
2006-03-28T02:00:00.000,341,41.866652,"{'type': 'Point', 'coordinates': [-87.64217, 41.866652]}",-87.64217,Jefferson St,4800,1219 South,North Bound: 2600 / South Bound: 2200
2006-04-26T02:00:00.000,342,41.873569,"{'type': 'Point', 'coordinates': [-87.642397, 41.873569]}",-87.642397,Jefferson St,6400,651 South,North Bound: 6400 / / Oneway North Bound
2006-03-28T02:00:00.000,343,41.787228999999996,"{'type': 'Point', 'coordinates': [-87.594821, 41.787229]}",-87.594821,Midway Plaisance,16700,1300 East,East Bound: 9200 / West Bound: 7500
2006-03-28T02:00:00.000,344,41.823134,"{'type': 'Point', 'coordinates': [-87.605367, 41.823134]}",-87.605367,Oakwood Blvd,4900,830 East,East Bound: 3300 / West Bound: 1600
2006-05-02T02:00:00.000,345,41.872155,"{'type': 'Point', 'coordinates': [-87.633321, 41.872155]}",-87.633321,Polk St,8900,188 West,East Bound: 5100 / West Bound: 3800
2006-03-28T02:00:00.000,347,41.712817,"{'type': 'Point', 'coordinates': [-87.659031, 41.712817]}",-87.659031,Beverly Ave,11900,9943 South,North Bound: 5700 / South Bound: 6200
2006-03-28T02:00:00.000,348,41.743319,"{'type': 'Point', 'coordinates': [-87.547879, 41.743319]}",-87.54787900000001,Bond Ave,11100,8349 South,North Bound: 5400 / South Bound: 5700
2006-03-28T02:00:00.000,349,41.74028,"{'type': 'Point', 'coordinates': [-87.54538, 41.74028]}",-87.54538000000001,Burley Ave,18100,8527 South,North Bound: 8500 / South Bound: 9600
2006-10-17T02:00:00.000,350,41.855226,"{'type': 'Point', 'coordinates': [-87.619095, 41.855226]}",-87.619095,Calumet Ave,2400,2010 South,North Bound: 1700 / South Bound: 700
2006-10-02T02:00:00.000,351,41.875514,"{'type': 'Point', 'coordinates': [-87.639626, 41.875514]}",-87.639626,Canal St,15600,460 South,North Bound: 10400 / South Bound: 5200
2006-10-02T02:00:00.000,352,41.874389,"{'type': 'Point', 'coordinates': [-87.640956, 41.874389]}",-87.640956,Clinton St,7300,538 South,South Bound: 7300/ Oneway South Bound
2006-10-18T02:00:00.000,354,41.720957,"{'type': 'Point', 'coordinates': [-87.560671, 41.720957]}",-87.560671,Colfax Ave,13100,9592 South,North Bound: 6800 / South Bound: 6300
2006-09-21T02:00:00.000,355,41.867512,"{'type': 'Point', 'coordinates': [-87.620401, 41.867512]}",-87.620401,Columbus Dr,37800,1161 South,North Bound: 19600 / South Bound: 18200
2006-10-26T02:00:00.000,356,41.782388,"{'type': 'Point', 'coordinates': [-87.584573, 41.782388]}",-87.58457299999999,Cornell Dr,43000,6100 South,North Bound: 23100 / South Bound: 19900
2006-09-19T02:00:00.000,357,41.873925,"{'type': 'Point', 'coordinates': [-87.62919, 41.873925]}",-87.62919000000001,Dearborn St,7800,637 South,North Bound: 7800 / / Oneway North Bound 
2006-10-03T02:00:00.000,358,41.873531,"{'type': 'Point', 'coordinates': [-87.643862, 41.873531]}",-87.643862,Des Plaines St,6300,682 South,South Bound: 6300/ Oneway South Bound
2006-08-24T02:00:00.000,360,41.693059000000005,"{'type': 'Point', 'coordinates': [-87.671533, 41.693059]}",-87.671533,Longwood Dr,6700,11043 South,North Bound: 2500 / South Bound: 4200
2006-10-04T02:00:00.000,361,41.759562,"{'type': 'Point', 'coordinates': [-87.638479, 41.759562]}",-87.638479,Parnell Ave,1200,7409 South,South Bound: 1200/ Oneway South Bound 
2006-05-04T02:00:00.000,362,41.794542,"{'type': 'Point', 'coordinates': [-87.607689, 41.794542]}",-87.60768900000001,Payne Dr,17200,5510 South,North Bound: 9100 / South Bound: 8100
2006-05-04T02:00:00.000,363,41.838528000000004,"{'type': 'Point', 'coordinates': [-87.662425, 41.838528]}",-87.662425,Pitney Ct,1800,3027 South,North Bound: 800 / South Bound: 1000
2006-05-04T02:00:00.000,364,41.778678,"{'type': 'Point', 'coordinates': [-87.579568, 41.778678]}",-87.57956800000001,Richards Dr,8200,6400 South,North Bound: 2900 / South Bound: 5300
2006-05-04T02:00:00.000,365,41.766933,"{'type': 'Point', 'coordinates': [-87.610456, 41.766933]}",-87.610456,St Lawrence Ave,5000,7020 South,North Bound: 3400 / South Bound: 1600
2006-05-09T02:00:00.000,366,41.737235999999996,"{'type': 'Point', 'coordinates': [-87.644725, 41.737236]}",-87.644725,Summit Ave,6200,8620 South,North Bound: 3500 / South Bound: 2700
2006-05-04T02:00:00.000,367,41.714883,"{'type': 'Point', 'coordinates': [-87.573706, 41.714883]}",-87.573706,Van Vlissingen Rd,6800,9915 South,North Bound: 3400 / South Bound: 3400
2006-05-02T02:00:00.000,368,41.873661,"{'type': 'Point', 'coordinates': [-87.62598, 41.873661]}",-87.62598,Wabash Ave,9100,634 South,North Bound: 3300 / South Bound: 5800
2006-05-02T02:00:00.000,369,41.868320000000004,"{'type': 'Point', 'coordinates': [-87.625851, 41.86832]}",-87.625851,Wabash Ave,11500,1130 South,North Bound: 5000 / South Bound: 6500
2006-05-11T02:00:00.000,370,41.869271999999995,"{'type': 'Point', 'coordinates': [-87.633488, 41.869272]}",-87.633488,Wells St,4200,1040 South,North Bound: 2000 / South Bound: 2200
2006-05-04T02:00:00.000,371,41.801676,"{'type': 'Point', 'coordinates': [-87.59669, 41.801676]}",-87.59669,Woodlawn Ave,8100,5121 South,North Bound: 4000 / South Bound: 4100
2006-05-09T02:00:00.000,372,41.876773,"{'type': 'Point', 'coordinates': [-87.671635, 41.876773]}",-87.671635,Ogden Ave,20100,1760 West,East Bound: 9700 / West Bound: 10400
2006-05-09T02:00:00.000,373,41.869995,"{'type': 'Point', 'coordinates': [-87.679727, 41.869995]}",-87.679727,Ogden Ave,22700,2124 West,East Bound: 11900 / West Bound: 10800
2006-05-09T02:00:00.000,374,41.862371,"{'type': 'Point', 'coordinates': [-87.692771, 41.862371]}",-87.692771,Ogden Ave,23900,2653 West,East Bound: 11900 / West Bound: 12000
2006-05-09T02:00:00.000,375,41.815579,"{'type': 'Point', 'coordinates': [-87.692019, 41.815579]}",-87.69201899999999,Pope John Paul II,7000,2701 West,West Bound: 7000/ Oneway West Bound
2006-05-09T02:00:00.000,376,41.818962,"{'type': 'Point', 'coordinates': [-87.645802, 41.818962]}",-87.645802,Root St,3200,742 West,East Bound: 1400 / West Bound: 1800
2006-05-02T02:00:00.000,377,41.800125,"{'type': 'Point', 'coordinates': [-87.596657, 41.800125]}",-87.596657,Woodlawn Ave,7200,5224 South,North Bound: 3500 / South Bound: 3700
2006-05-02T02:00:00.000,378,41.805122999999995,"{'type': 'Point', 'coordinates': [-87.596753, 41.805123]}",-87.596753,Woodlawn Ave,5500,4929 South,North Bound: 2900 / South Bound: 2600
2006-05-02T02:00:00.000,379,41.810689,"{'type': 'Point', 'coordinates': [-87.596855, 41.810689]}",-87.596855,Woodlawn Ave,3000,4624 South,North Bound: 1500 / South Bound: 1500
2006-04-05T02:00:00.000,380,41.860562,"{'type': 'Point', 'coordinates': [-87.617934, 41.860562]}",-87.61793399999999,Lake Shore Dr,165200,1550 South,North Bound: 86200 / South Bound: 79000
2006-04-05T02:00:00.000,381,41.799972,"{'type': 'Point', 'coordinates': [-87.581471, 41.799972]}",-87.581471,Lake Shore Dr,111600,5250 South,North Bound: 52400 / South Bound: 59200
2006-11-14T02:00:00.000,382,41.706839,"{'type': 'Point', 'coordinates': [-87.55965, 41.706839]}",-87.55965,Torrence Ave,21600,10344 South,North Bound: 11200 / South Bound: 10400
2006-10-18T02:00:00.000,383,41.708489,"{'type': 'Point', 'coordinates': [-87.535287, 41.708489]}",-87.535287,Ewing Ave,6800,10250 South,North Bound: 4500 / South Bound: 2300
2006-11-01T02:00:00.000,384,41.702420000000004,"{'type': 'Point', 'coordinates': [-87.628153, 41.70242]}",-87.628153,Wentworth Ave,8300,10535 South,North Bound: 3600 / South Bound: 4700
2006-08-22T02:00:00.000,385,41.702738000000004,"{'type': 'Point', 'coordinates': [-87.701224, 41.702738]}",-87.701224,Kedzie Ave,22000,10452 South,North Bound: 11300 / South Bound: 10700
2006-09-06T02:00:00.000,386,41.687943,"{'type': 'Point', 'coordinates': [-87.620988, 41.687943]}",-87.620988,Michigan Ave,11900,11335 South,North Bound: 6300 / South Bound: 5600
2006-10-04T02:00:00.000,387,41.690928,"{'type': 'Point', 'coordinates': [-87.610268, 41.690928]}",-87.610268,Cottage Grove Ave,6700,11201 South,North Bound: 3300 / South Bound: 3400
2006-08-31T02:00:00.000,388,41.680056,"{'type': 'Point', 'coordinates': [-87.622723, 41.680056]}",-87.622723,State St,7800,11750 South,North Bound: 4100 / South Bound: 3700
2006-08-31T02:00:00.000,389,41.682968,"{'type': 'Point', 'coordinates': [-87.642082, 41.682968]}",-87.64208199999999,Halsted St,30300,11600 South,North Bound: 16100 / South Bound: 14200
2006-08-23T02:00:00.000,390,41.677875,"{'type': 'Point', 'coordinates': [-87.671582, 41.677875]}",-87.671582,Vincennes Ave,7000,11867 South,North Bound: 3300 / South Bound: 3700
2006-11-14T02:00:00.000,391,41.66836,"{'type': 'Point', 'coordinates': [-87.620176, 41.66836]}",-87.620176,Michigan Ave,8900,12423 South,North Bound: 4000 / South Bound: 4900
2006-08-31T02:00:00.000,392,41.675955,"{'type': 'Point', 'coordinates': [-87.622596, 41.675955]}",-87.622596,State St,6300,12007 South,North Bound: 3100 / South Bound: 3200
2006-08-29T02:00:00.000,393,41.674552,"{'type': 'Point', 'coordinates': [-87.627366, 41.674552]}",-87.62736600000001,Wentworth Ave,3100,12054 South,North Bound: 1400 / South Bound: 1700
2006-11-08T02:00:00.000,394,41.658336,"{'type': 'Point', 'coordinates': [-87.547134, 41.658336]}",-87.547134,Baltimore Ave,4400,13027 South,North Bound: 1800 / South Bound: 2600
2006-08-31T02:00:00.000,395,41.659853999999996,"{'type': 'Point', 'coordinates': [-87.55928, 41.659854]}",-87.55928,Torrence Ave,18600,12940 South,North Bound: 9400 / South Bound: 9200
2006-11-08T02:00:00.000,396,41.655545000000004,"{'type': 'Point', 'coordinates': [-87.559298, 41.655545]}",-87.559298,Torrence Ave,15100,13200 South,North Bound: 7400 / South Bound: 7700
2006-10-11T02:00:00.000,397,41.773922,"{'type': 'Point', 'coordinates': [-87.673756, 41.773922]}",-87.67375600000001,Damen Ave,21500,6559 South,North Bound: 11600 / South Bound: 9900
2006-10-12T02:00:00.000,398,41.880815000000005,"{'type': 'Point', 'coordinates': [-87.666819, 41.880815]}",-87.66681899999999,Ogden Ave,19900,1600 West,North Bound: 9500 / South Bound: 10400
2006-08-31T02:00:00.000,399,41.879119,"{'type': 'Point', 'coordinates': [-87.666752, 41.879119]}",-87.666752,Ashland Ave,31700,133 South,North Bound: 16800 / South Bound: 14900
2006-10-02T02:00:00.000,400,41.879863,"{'type': 'Point', 'coordinates': [-87.644062, 41.879863]}",-87.644062,Des Plaines St,8800,120 South,South Bound: 8800/ Oneway South Bound
2006-08-31T02:00:00.000,401,41.897607,"{'type': 'Point', 'coordinates': [-87.667335, 41.897607]}",-87.667335,Ashland Ave,34400,852 North,North Bound: 17100 / South Bound: 17300
2006-09-26T02:00:00.000,402,41.822902,"{'type': 'Point', 'coordinates': [-87.688714, 41.822902]}",-87.688714,Pershing Rd,12300,2535 West,East Bound: 6000 / West Bound: 6300
2006-10-23T02:00:00.000,403,41.915566,"{'type': 'Point', 'coordinates': [-87.750173, 41.915566]}",-87.750173,Grand Ave,12500,4923 West,East Bound: 5900 / West Bound: 6600
2006-10-16T02:00:00.000,404,41.919517,"{'type': 'Point', 'coordinates': [-87.746187, 41.919517]}",-87.746187,Cicero Ave,39900,2125 North,North Bound: 18800 / South Bound: 21100
2006-10-24T02:00:00.000,405,41.961614000000004,"{'type': 'Point', 'coordinates': [-87.667445, 41.961614]}",-87.667445,Montrose Ave,16700,1463 West,East Bound: 8100 / West Bound: 8600
2006-10-11T02:00:00.000,406,41.794069,"{'type': 'Point', 'coordinates': [-87.662159, 41.794069]}",-87.662159,55th St,35200,1440 West,East Bound: 18500 / West Bound: 16700
2006-10-19T02:00:00.000,407,41.885403000000004,"{'type': 'Point', 'coordinates': [-87.663033, 41.885403]}",-87.663033,Lake St,9700,1423 West,East Bound: 5400 / West Bound: 4300
2006-08-10T02:00:00.000,408,41.932463,"{'type': 'Point', 'coordinates': [-87.664643, 41.932463]}",-87.664643,Diversey Ave,21700,1425 West,East Bound: 10400 / West Bound: 11300
2006-10-16T02:00:00.000,409,41.90128,"{'type': 'Point', 'coordinates': [-87.745946, 41.90128]}",-87.74594599999999,Cicero Ave,37800,1125 North,North Bound: 18700 / South Bound: 19100
2006-10-23T02:00:00.000,410,41.900935,"{'type': 'Point', 'coordinates': [-87.755742, 41.900935]}",-87.755742,Laramie Ave,19500,1117 North,North Bound: 10200 / South Bound: 9300
2006-11-13T02:00:00.000,411,41.900144,"{'type': 'Point', 'coordinates': [-87.765583, 41.900144]}",-87.76558299999999,Central Ave,22700,1055 North,North Bound: 10700 / South Bound: 12000
2006-11-14T02:00:00.000,412,41.877113,"{'type': 'Point', 'coordinates': [-87.77081, 41.877113]}",-87.77081,Jackson Blvd,9800,5862 West,East Bound: 4100 / West Bound: 5700
2006-10-19T02:00:00.000,413,41.882191,"{'type': 'Point', 'coordinates': [-87.768235, 41.882191]}",-87.768235,Washington St,10800,5700 West,East Bound: 4600 / West Bound: 6200
2006-11-14T02:00:00.000,414,41.887904,"{'type': 'Point', 'coordinates': [-87.771064, 41.887904]}",-87.771064,Lake St,7100,5838 West,East Bound: 3600 / West Bound: 3500
2006-11-15T02:00:00.000,416,41.902037,"{'type': 'Point', 'coordinates': [-87.772722, 41.902037]}",-87.772722,Division St,12200,5854 West,East Bound: 6400 / West Bound: 5800
2006-10-23T02:00:00.000,417,41.919484000000004,"{'type': 'Point', 'coordinates': [-87.769758, 41.919484]}",-87.769758,Grand Ave,21700,5741 West,East Bound: 11700 / West Bound: 10000
2006-08-10T02:00:00.000,418,41.931174,"{'type': 'Point', 'coordinates': [-87.77358, 41.931174]}",-87.77358000000001,Diversey Ave,21800,5900 West,East Bound: 11000 / West Bound: 10800
2006-10-25T02:00:00.000,419,41.960389,"{'type': 'Point', 'coordinates': [-87.774207, 41.960389]}",-87.77420699999999,Montrose Ave,22700,5850 West,East Bound: 11600 / West Bound: 11100
2006-10-18T02:00:00.000,420,41.702743,"{'type': 'Point', 'coordinates': [-87.537314, 41.702743]}",-87.537314,106th St,16500,3541 East,East Bound: 9900 / West Bound: 6600
2006-11-08T02:00:00.000,421,41.65732,"{'type': 'Point', 'coordinates': [-87.557177, 41.65732]}",-87.557177,Brainard Ave,16200,13101 South,North Bound: 8000 / South Bound: 8200
2006-08-31T02:00:00.000,422,41.651861,"{'type': 'Point', 'coordinates': [-87.54501, 41.651861]}",-87.54500999999999,134th St,4700,3220 East,East Bound: 2500 / West Bound: 2200
2006-10-25T02:00:00.000,423,41.93269,"{'type': 'Point', 'coordinates': [-87.776018, 41.93269]}",-87.77601800000001,Austin Ave,21300,2851 North,North Bound: 9100 / South Bound: 12200
2006-08-15T02:00:00.000,424,41.9477,"{'type': 'Point', 'coordinates': [-87.646232, 41.9477]}",-87.646232,Addison St,11600,618 West,East Bound: 6100 / West Bound: 5500
2007-06-19T02:00:00.000,425,41.985494,"{'type': 'Point', 'coordinates': [-87.657453, 41.985494]}",-87.657453,Hollywood Ave,35200,1050 West,East Bound: 18200 / West Bound: 17000
2006-10-12T02:00:00.000,426,41.97914,"{'type': 'Point', 'coordinates': [-87.655026, 41.97914]}",-87.655026,Sheridan Ave,12500,5333 North,North Bound: 6300 / South Bound: 6200
2006-10-16T02:00:00.000,428,41.844657,"{'type': 'Point', 'coordinates': [-87.697733, 41.844657]}",-87.697733,26th St,13700,2900 West,East Bound: 2600 / West Bound: 11100
2007-01-09T02:00:00.000,429,41.801077,"{'type': 'Point', 'coordinates': [-87.688258, 41.801077]}",-87.68825799999999,51st St,20200,2531 West,East Bound: 10300 / West Bound: 9900
2006-08-10T02:00:00.000,430,41.808295,"{'type': 'Point', 'coordinates': [-87.693288, 41.808295]}",-87.693288,47th St,23700,2738 West,East Bound: 12000 / West Bound: 11700
2006-09-14T02:00:00.000,431,41.851933,"{'type': 'Point', 'coordinates': [-87.693114, 41.851933]}",-87.69311400000001,Cermak Rd,14200,2703 West,East Bound: 7600 / West Bound: 6600
2006-10-19T02:00:00.000,432,41.866535,"{'type': 'Point', 'coordinates': [-87.693471, 41.866535]}",-87.693471,Roosevelt Rd,18300,2700 West,East Bound: 8200 / West Bound: 10100
2006-08-17T02:00:00.000,433,41.815670000000004,"{'type': 'Point', 'coordinates': [-87.686204, 41.81567]}",-87.686204,43rd St,4200,2439 West,West Bound: 4200/ Oneway West Bound 
2006-10-11T02:00:00.000,434,41.988619,"{'type': 'Point', 'coordinates': [-87.812789, 41.988619]}",-87.812789,Talcott Ave,12300,7430 West,East Bound: 6500 / West Bound: 5800
2006-09-14T02:00:00.000,435,41.858948999999996,"{'type': 'Point', 'coordinates': [-87.717426, 41.858949]}",-87.717426,16th St,9500,3654 West,East Bound: 4400 / West Bound: 5100
2006-08-24T02:00:00.000,436,41.95327,"{'type': 'Point', 'coordinates': [-87.759652, 41.95327]}",-87.759652,Irving Park Rd,34500,5301 West,East Bound: 16800 / West Bound: 17700
2006-08-17T02:00:00.000,437,41.924043,"{'type': 'Point', 'coordinates': [-87.761108, 41.924043]}",-87.761108,Fullerton Ave,37900,5400 West,East Bound: 21300 / West Bound: 16600
2006-10-18T02:00:00.000,438,41.910014000000004,"{'type': 'Point', 'coordinates': [-87.713878, 41.910014]}",-87.71387800000001,North Ave,39500,3543 West,East Bound: 20200 / West Bound: 19300
2006-10-19T02:00:00.000,439,41.881668,"{'type': 'Point', 'coordinates': [-87.718383, 41.881668]}",-87.718383,Washington St,11800,3656 West,East Bound: 5800 / West Bound: 6000
2006-10-12T02:00:00.000,440,41.880897999999995,"{'type': 'Point', 'coordinates': [-87.712441, 41.880898]}",-87.712441,Madison St,15600,3433 West,East Bound: 7800 / West Bound: 7800
2006-10-16T02:00:00.000,441,41.928267,"{'type': 'Point', 'coordinates': [-87.716068, 41.928267]}",-87.716068,Wrightwood Ave,10600,3534 West,East Bound: 4900 / West Bound: 5700
2006-08-10T02:00:00.000,442,41.9753,"{'type': 'Point', 'coordinates': [-87.750239, 41.9753]}",-87.75023900000001,Foster Ave,27600,4856 West,East Bound: 12400 / West Bound: 15200
2006-10-19T02:00:00.000,443,41.865941,"{'type': 'Point', 'coordinates': [-87.741303, 41.865941]}",-87.741303,Roosevelt Rd,22600,4637 West,East Bound: 11500 / West Bound: 11100
2006-10-19T02:00:00.000,445,41.895151,"{'type': 'Point', 'coordinates': [-87.737793, 41.895151]}",-87.73779300000001,Chicago Ave,21400,4444 West,East Bound: 9800 / West Bound: 11600
2006-10-18T02:00:00.000,446,41.909704999999995,"{'type': 'Point', 'coordinates': [-87.739646, 41.909705]}",-87.739646,North Ave,34900,4517 West,East Bound: 16500 / West Bound: 18400
2006-09-26T02:00:00.000,447,41.965326,"{'type': 'Point', 'coordinates': [-87.662564, 41.965326]}",-87.662564,Wilson Ave,12700,1303 West,East Bound: 6300 / West Bound: 6400
2006-08-20T02:00:00.000,448,41.976215,"{'type': 'Point', 'coordinates': [-87.666782, 41.976215]}",-87.666782,Foster Ave,24100,1450 West,East Bound: 11200 / West Bound: 12900
2006-10-24T02:00:00.000,449,41.983538,"{'type': 'Point', 'coordinates': [-87.665686, 41.983538]}",-87.665686,Bryn Mawr Ave,6500,1418 West,East Bound: 3600 / West Bound: 2900
2006-09-19T02:00:00.000,450,41.896651,"{'type': 'Point', 'coordinates': [-87.630189, 41.896651]}",-87.630189,Chicago Ave,23000,54 West,East Bound: 11700 / West Bound: 11300
2006-09-26T02:00:00.000,451,41.893244,"{'type': 'Point', 'coordinates': [-87.630017, 41.893244]}",-87.63001700000001,Ontario St,18400,51 West,West Bound: 18400/ Oneway West Bound 
2006-08-23T02:00:00.000,452,42.00544,"{'type': 'Point', 'coordinates': [-87.666635, 42.00544]}",-87.666635,Pratt Blvd,7100,1420 West,East Bound: 3900 / West Bound: 3200
2006-09-27T02:00:00.000,453,41.875606,"{'type': 'Point', 'coordinates': [-87.630878, 41.875606]}",-87.63087800000001,Congress Pkwy,76700,105 West,East Bound: 37000 / West Bound: 39700
2006-08-29T02:00:00.000,454,41.692822,"{'type': 'Point', 'coordinates': [-87.605505, 41.692822]}",-87.60550500000001,111th St,16500,711 East,East Bound: 7500 / West Bound: 9000
2006-10-18T02:00:00.000,455,41.910585,"{'type': 'Point', 'coordinates': [-87.669739, 41.910585]}",-87.669739,North Ave,20900,1650 West,East Bound: 10400 / West Bound: 10500
2006-08-22T02:00:00.000,457,41.976144,"{'type': 'Point', 'coordinates': [-87.671622, 41.976144]}",-87.671622,Foster Ave,25600,1649 West,East Bound: 11600 / West Bound: 14000
2006-11-14T02:00:00.000,458,41.895971,"{'type': 'Point', 'coordinates': [-87.67335, 41.895971]}",-87.67335,Chicago Ave,17400,1828 West,East Bound: 9000 / West Bound: 8400
2006-09-20T02:00:00.000,459,41.876909999999995,"{'type': 'Point', 'coordinates': [-87.628624, 41.87691]}",-87.628624,Van Buren St,7400,25 West,West Bound: 7400/ Oneway West Bound 
2006-09-28T02:00:00.000,460,41.878174,"{'type': 'Point', 'coordinates': [-87.628405, 41.878174]}",-87.628405,Jackson Blvd,10100,19 West,East Bound: 10100 / / Oneway East Bound 
2006-10-03T02:00:00.000,461,41.879452,"{'type': 'Point', 'coordinates': [-87.628325, 41.879452]}",-87.628325,Adams St,11200,15 West,West Bound: 11200/ Oneway West Bound
2006-09-19T02:00:00.000,462,41.880775,"{'type': 'Point', 'coordinates': [-87.626654, 41.880775]}",-87.626654,Monroe St,13000,30 East,East Bound: 13000 / / Oneway East Bound 
2006-10-03T02:00:00.000,463,41.882024,"{'type': 'Point', 'coordinates': [-87.628403, 41.882024]}",-87.628403,Madison St,11500,15 West,West Bound: 11500/ Oneway West Bound
2006-10-02T02:00:00.000,464,41.885746999999995,"{'type': 'Point', 'coordinates': [-87.628288, 41.885747]}",-87.628288,Lake St,13700,10 West,East Bound: 13700 / / Oneway East Bound
2006-09-26T02:00:00.000,465,41.883215,"{'type': 'Point', 'coordinates': [-87.628926, 41.883215]}",-87.628926,Washington St,14300,27 West,East Bound: 14300 / / Oneway East Bound 
2006-09-19T02:00:00.000,466,41.884485,"{'type': 'Point', 'coordinates': [-87.628798, 41.884485]}",-87.628798,Randolph St,18000,24 West,West Bound: 18000/ Oneway West Bound 
2006-08-23T02:00:00.000,467,42.000202,"{'type': 'Point', 'coordinates': [-87.699716, 42.000202]}",-87.69971600000001,California Ave,11400,6526 North,North Bound: 5600 / South Bound: 5800
2006-10-18T02:00:00.000,468,41.691858,"{'type': 'Point', 'coordinates': [-87.539118, 41.691858]}",-87.539118,112th St,7700,3455 East,East Bound: 4600 / West Bound: 3100
2006-08-22T02:00:00.000,469,41.691285,"{'type': 'Point', 'coordinates': [-87.720316, 41.691285]}",-87.720316,111th St,20200,3980 West,East Bound: 9700 / West Bound: 10500
2006-08-29T02:00:00.000,470,41.699647999999996,"{'type': 'Point', 'coordinates': [-87.641695, 41.699648]}",-87.641695,107th St,10900,738 West,East Bound: 5100 / West Bound: 5800
2006-08-15T02:00:00.000,471,41.749569,"{'type': 'Point', 'coordinates': [-87.721913, 41.749569]}",-87.721913,79th St,32000,3900 West,East Bound: 15900 / West Bound: 16100
2006-08-22T02:00:00.000,472,41.771406,"{'type': 'Point', 'coordinates': [-87.720493, 41.771406]}",-87.720493,Marquette St,18000,3908 West,East Bound: 8300 / West Bound: 9700
2006-08-15T02:00:00.000,474,41.778674,"{'type': 'Point', 'coordinates': [-87.721655, 41.778674]}",-87.721655,63rd St,24000,3933 West,East Bound: 12100 / West Bound: 11900
2006-09-12T02:00:00.000,475,41.795919,"{'type': 'Point', 'coordinates': [-87.761047, 41.795919]}",-87.76104699999999,Archer Ave,28700,5858 South,East Bound: 14300 / West Bound: 14400
2006-09-12T02:00:00.000,476,41.793061,"{'type': 'Point', 'coordinates': [-87.739172, 41.793061]}",-87.739172,55th St,23300,4630 West,East Bound: 12100 / West Bound: 11200
2006-08-22T02:00:00.000,477,41.808006,"{'type': 'Point', 'coordinates': [-87.712716, 41.808006]}",-87.712716,47th St,23600,3535 West,East Bound: 12300 / West Bound: 11300
